id	filename	md5	size	state
00311812-2fd2-4bb5-a8fe-b8cf035bf09f	TCGA-BRCA.f00b3a1a-5336-4540-a8e6-d731947f9ee5.gene_level_copy_number.tsv	89e0e16b1c9453df5bc8230e0fc565a8	3482651	validated
0048cee8-7b22-4f54-85a5-e6f68c1acbc5	TCGA-BRCA.b2cc4c34-e90b-4377-b50b-222e507cffcc.gene_level_copy_number.tsv	73aa74b025aa490ecb56a8cf51e8a72b	3484054	validated
0069cea6-ac68-458f-8a72-2c32d6ba0c21	TCGA-BRCA.aff7ebf5-e7ff-4932-972f-758e23aedf4b.gene_level_copy_number.tsv	35296c6ca66567119ce760d46a214ab3	3483837	validated
0094a457-4cd6-445a-848c-4b88f6bcf978	TCGA-BRCA.c8b29059-d76b-4b62-9a59-31f7dc9bc3a1.gene_level_copy_number.tsv	434c7d3c484f8b1bddddecc8f54fc917	3482266	validated
00a310cf-5740-4413-bc8e-d4ada63d6d48	TCGA-BRCA.4fd5a826-8410-4572-9403-960947308df7.gene_level_copy_number.tsv	c00d78127516d11953ae043a671364b5	3482242	validated
00ad392e-8fa9-4c8b-ad3d-a3324add8a07	TCGA-BRCA.67db47cd-e3f4-48f3-bf1e-e0c9e5b862b0.gene_level_copy_number.tsv	afc59e5b09585b9d40b98f7e1f0241b9	3482497	validated
00eec699-3467-4457-a4f5-eb9214049c1d	TCGA-BRCA.4da6e060-d771-42fd-9d1b-2310848775d7.gene_level_copy_number.tsv	e85102ae0e41a48532a97a334aa35bdb	3482122	validated
00fe4d78-0cb8-4eef-ad29-38d6e6187ab0	TCGA-BRCA.34a4a64c-d8a5-44c8-ae5e-3ef0258179d6.gene_level_copy_number.tsv	9594265d3ebb06c5169c30c65a52dfda	3489986	validated
00fed7aa-913a-4cd2-abf7-0c639c067c1a	TCGA-BRCA.e5ab2046-c8a8-4636-865c-c92d6b3da823.gene_level_copy_number.tsv	acb69340fcf938c2949d13183fec4495	3482503	validated
0170e6f2-24b6-4ad7-bbe5-77c958c2e5d5	TCGA-BRCA.9bd1f34e-2bf1-45d9-8553-9abc40c3c175.gene_level_copy_number.tsv	28095e011c7da9c25080688ff4d344b4	3482844	validated
01a849f6-9bd4-430e-b7cd-bf3e321de11b	TCGA-BRCA.05ee789e-dc0f-4f44-a238-84ec5a8207ab.gene_level_copy_number.tsv	c4c1e4644ecf5f84d16ab8699829521c	3482230	validated
021a9690-af31-4fc5-8599-dd6a39716ddf	TCGA-BRCA.2fb480d8-ea3c-40a7-aff7-c98eb38f0059.gene_level_copy_number.tsv	fae2a482a90944ebc65119c02316d673	3487319	validated
02420fd2-3569-4ff8-9468-bec28ace22a9	TCGA-BRCA.9221bace-db00-4adc-ac61-aa064672c1ad.gene_level_copy_number.tsv	85f1d963dee4d814dc4c844271d9241b	3483360	validated
02511bd6-c5aa-45d9-977d-d9d2a0057e39	TCGA-BRCA.cea1bfb5-fe63-4515-8f2b-66696afa23b2.gene_level_copy_number.tsv	f7873df7050c632522e95f84bce33b3e	3482876	validated
0270ece4-5d4a-4945-9cf1-38e20def8590	TCGA-BRCA.7406aaff-b28a-4b4c-8fa3-b4e208b8cf85.gene_level_copy_number.tsv	6c6813a299ace910345d7a0267c7d67c	3482849	validated
0284a31b-9754-41dc-8d5a-c8a6bd5c25ae	TCGA-BRCA.438bf0f6-af07-42dd-8121-fce6c1163e97.gene_level_copy_number.tsv	5fca31f98a3860acf9f514c027975031	3482364	validated
02b28f2a-8a56-4b4b-9d43-9bf63c2390b2	TCGA-BRCA.98d263ad-3cc6-4846-916c-17de953a89a0.gene_level_copy_number.tsv	ac048b7e0f17cdb75d0b2b713639a0de	3494684	validated
02bcbee1-b2a6-4c20-8200-e21bc807f62b	TCGA-BRCA.709f0022-50be-49df-839c-9e716e3e0869.gene_level_copy_number.tsv	131b104a806a1dfa6e16ad624e868bf7	3482245	validated
02ca633a-129f-486a-b40e-e8b93d961532	TCGA-BRCA.8e008f46-3426-4b3f-b9bd-57f4b0ae24c6.gene_level_copy_number.tsv	f7b32638f3423ddc12a1a2c3b5a34d8f	3482350	validated
036640b9-4d2a-4b4e-8a2f-d679ce65d634	TCGA-BRCA.51c263b0-32eb-49fe-b7ed-7de6b0a94c33.gene_level_copy_number.tsv	fbf2131865f0db4f1a5f492de16a394d	3482272	validated
03a5c9cd-b3d2-4831-9a81-4c27f0809c58	TCGA-BRCA.20e3c431-7416-49c3-88a0-b59801f6b05d.gene_level_copy_number.tsv	fe9a13b00f0b211a4ecdd9267b7c75a8	3482194	validated
03ccf458-3725-47ff-9070-78b414fd7ad2	TCGA-BRCA.071b569b-3b44-4a6b-ac2c-bbda7d13c501.gene_level_copy_number.tsv	5fc61c029165cf3e3bb7216ed5a4cec7	3482114	validated
04354a53-dc96-4b45-b841-d2f370d90cfe	TCGA-BRCA.66c6efd3-406c-4b96-ac62-b570d161c825.gene_level_copy_number.tsv	055e2669eb68c2c99124de62b11b334c	3482472	validated
04843a00-9233-4936-93eb-8b77ba4a9453	TCGA-BRCA.7e96d825-cf43-4caa-b6be-9a972e9295f3.gene_level_copy_number.tsv	b22709d92861b8f10a81000f9f18a989	3487831	validated
051109fa-a31f-4158-8c75-853262772024	TCGA-BRCA.bcc81b67-ecd6-442f-abc4-dd5b916bea85.gene_level_copy_number.tsv	8409552ba870c06f901c87a2d305eeac	3482248	validated
0559fac7-3fa0-467b-8eee-f8613e0e7dfa	TCGA-BRCA.6f1627be-b4c7-4b99-874b-f1313bc2f284.gene_level_copy_number.tsv	cd0646867fd7f472074bdfd0d2eadc58	3485581	validated
0633ccd0-240b-4c3c-948b-222c247dd225	TCGA-BRCA.10c8c344-12f5-4c1d-860c-10ba59d82ce3.gene_level_copy_number.tsv	b56f01b3dc6466ca5437651392fe28e6	3482256	validated
066a7c8e-9bde-40f9-993d-7360b124b574	TCGA-BRCA.615b2826-7f9f-498b-8309-d4d54d598c50.gene_level_copy_number.tsv	e645214ad545d2e19dfe80dd42a9cf64	3482245	validated
